Year,Dengue_Cases,Temperature,Precipitation
1990,104456,26.16,2471.01
1991,110930,26.17,2029.52
1992,117681,26.05,1940.57
1993,124590,26.15,2330.48
1994,131524,26.27,2241.87
1995,138396,26.13,2731.1
1996,145202,26,2555.56
1997,152174,26.12,2060.66
1998,159804,26.76,2216.31
1999,168230,26.18,3355.78
2000,178241,26.32,3149.56
2001,192174,26.34,2831.99
2002,211703,26.22,2426.6
2003,236257,26.07,2738.26
2004,265048,26.17,2456.7
2005,297071,26.27,2534.85
2006,347083,26.32,2539.56
2007,420289,26.34,2754.81
2008,499683,26.04,3131.1
2009,567690,26.08,2818.04
2010,605965,26.26,2610.3
